"iso3"
"DZA"
"EGY"
"LBY"
"MAR"
"SDN"
"TUN"
"BDI"
"COM"
"DJI"
"ERI"
"ETH"
"KEN"
"MDG"
"MWI"
"MUS"
"MOZ"
"RWA"
"SOM"
"SSD"
"UGA"
"TZA"
"ZMB"
"ZWE"
"AGO"
"CMR"
"CAF"
"TCD"
"COG"
"COD"
"GNQ"
"GAB"
"STP"
"BWA"
"SWZ"
"LSO"
"NAM"
"ZAF"
"BEN"
"BFA"
"CPV"
"CIV"
"GMB"
"GHA"
"GIN"
"GNB"
"LBR"
"MLI"
"MRT"
"NER"
"NGA"
"SHN"
"SEN"
"SLE"
"TGO"
"ATG"
"CUB"
"DMA"
"DOM"
"GRD"
"HTI"
"JAM"
"MSR"
"LCA"
"VCT"
"BLZ"
"CRI"
"SLV"
"GTM"
"HND"
"MEX"
"NIC"
"PAN"
"ARG"
"BOL"
"BRA"
"COL"
"ECU"
"GUY"
"PRY"
"PER"
"SUR"
"VEN"
"KAZ"
"KGZ"
"TJK"
"TKM"
"UZB"
"CHN"
"PRK"
"MNG"
"KHM"
"IDN"
"LAO"
"MYS"
"MMR"
"PHL"
"THA"
"TLS"
"VNM"
"AFG"
"BGD"
"BTN"
"IND"
"IRN"
"MDV"
"NPL"
"PAK"
"LKA"
"ARM"
"AZE"
"GEO"
"IRQ"
"JOR"
"LBN"
"SYR"
"TUR"
"YEM"
"BLR"
"MDA"
"UKR"
"ALB"
"BIH"
"MNE"
"MKD"
"SRB"
"FJI"
"PNG"
"SLB"
"VUT"
"KIR"
"MHL"
"FSM"
"NRU"
"PLW"
"NIU"
"WSM"
"TKL"
"TON"
"TUV"
"WLF"
