"iso3","year","tax_to_gdp","real_gdp_growth","real_gdp_capita","trade_open","industry_value_gdp","natural_rent_gdp","nomina_gdp","total_aid_gdp","loan_gdp","grant_gdp","aid_dist","aid_col","cross"
"AFG",2005,NA,11.22971482,359.8990021,NA,26.81209923,0.3817198,6209137625,46.0348952242784,1.48410303596709,43.8550433966263,8.80259548826175,0,0
"AFG",2014,6.8,2.724543364,588.0088976,NA,21.22966322,0.544477424,20484885120,24.1685026349809,-0.08889481143451,24.3870052027902,8.80259548826175,0,0
"AFG",2011,9.2,0.426354785,532.679977,NA,22.74025248,0.879277901,17804292964,38.3222182076873,0.160129919551688,37.7625778995803,8.80259548826175,0,0
"AFG",2018,NA,1.189228128,568.8279274,NA,13.38724696,0.915366189,18353881130,20.6702875164584,1.03084464075964,19.7554946243678,8.80259548826175,0,0
"AFG",2004,NA,1.414117981,335.7017313,NA,26.22678975,0.44003058,5226778809,44.0854699271434,2.53884858818788,40.8632176345842,8.80259548826175,0,0
"AFG",2012,7.7,12.75228709,580.4872876,NA,21.15780715,0.702276007,20001598506,33.4178790659903,0.343322559841408,33.0828558428219,8.80259548826175,0,0
"AFG",2010,9.4,14.36244147,547.3548959,NA,21.1514207,0.609980533,15856574731,39.6380057271273,-0.460629115928833,39.8539413915496,8.80259548826175,0,0
"AFG",2016,8.8,2.260314201,575.3344424,NA,10.46680769,0.677458944,18017749074,23.1003328046459,-0.0345215152817041,22.9434874635107,8.80259548826175,0,0
"AFG",2007,6.1,13.82631955,408.5734542,NA,26.88224161,0.449365386,9747879532,51.192979802615,1.32428801131803,49.7909312898965,8.80259548826175,0,0
"AFG",2006,7.1,5.357403251,368.0086446,NA,28.21076807,0.50226549,6971285595,42.1817462493444,0.536629858154592,41.0049188352037,8.80259548826175,0,0
"AFG",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",2009,8.7,21.39052839,491.942093,NA,21.89712221,0.418062902,12439087077,49.7276042985289,0.417956717226701,48.7264858142773,8.80259548826175,0,0
"AFG",2003,NA,8.832277813,345.6395712,NA,22.71086418,0.710009344,4515558808,34.4181100519951,0.218134685402596,33.8469736523471,8.80259548826175,0,0
"AFG",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",2017,9.2,2.647003202,575.7070531,NA,10.051874,0.696790427,18869945678,20.5127246577758,0.572815639453692,19.6745134477435,8.80259548826175,0,0
"AFG",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",2008,6.1,3.924983822,415.0869954,NA,26.915628,0.611295447,10109225814,48.1929090282363,0.737247355744941,46.8553189645863,8.80259548826175,0,0
"AFG",2019,NA,3.911603419,577.5630576,NA,14.05811237,0.773957273,19291104008,22.2963392775048,0.678084571757807,21.8476350459372,8.80259548826175,0,0
"AFG",2015,7.6,1.45131466,578.4663529,NA,22.12404249,0.495307093,19907111419,22.0834148534687,-0.139899754483812,21.6904397082884,8.80259548826175,0,0
"AFG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",2002,NA,NA,332.7668827,NA,23.81012701,1.023570222,4055179566,30.1616729935949,-0.872464447607645,31.0383296106794,8.80259548826175,0,0
"AFG",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80259548826175,0,0
"AFG",2013,7.3,5.600744658,591.9470685,NA,20.44460531,0.54588231,20561069558,25.4805810817441,0.0554932221196662,25.0788023719014,8.80259548826175,0,0
"AGO",2007,NA,14.01001824,3806.849178,108.0600679,61.88353785,46.27901193,65266452081,-0.445021892165262,-0.15415270294628,0.552519691973541,7.13912486017863,0,51439.063376
"AGO",2008,NA,11.16613833,4077.776844,121.3647079,60.25482013,55.85217033,88538611205,3.36951298354172,0.024102478805083,0.392743906039903,7.13912486017863,0,51439.063376
"AGO",2013,NA,4.954544646,4220.964805,86.81193078,53.36285398,30.81602521,1.37e+11,4.11855474452555,0.0542554744525547,0.155087591240876,7.13912486017863,0,51439.063376
"AGO",2002,NA,13.66568652,2717.44097,105.3017426,56.07579654,27.69338684,15285594828,-2.25336340440647,0.114159770662214,2.59446887388084,7.13912486017863,0,51439.063376
"AGO",2000,NA,3.054624234,2451.509826,152.5471095,72.12295494,55.45007279,9129634978,1.28712703501474,0.535289747265512,2.77502880028069,7.13912486017863,0,51439.063376
"AGO",2004,NA,10.95286177,2900.166963,103.5799244,54.62992131,40.19370009,23552052408,4.60643506224318,3.01226401720734,1.84748230201883,7.13912486017863,0,51439.063376
"AGO",2015,NA,0.943571561,4166.979833,62.88852079,41.93309265,10.80155578,1.16e+11,-1.19969827586207,0.186387931034483,0.141577586206897,7.13912486017863,0,51439.063376
"AGO",2017,NA,-0.147212941,3790.791565,52.25682145,42.16795355,16.45241141,1.22e+11,0.390303278688525,0.0194262295081967,0.164729508196721,7.13912486017863,0,51439.063376
"AGO",2005,NA,15.02891532,3220.078085,106.5909621,60.40199346,45.82718464,36970918699,4.51162713477584,0.0835521569033542,1.03846486241194,7.13912486017863,0,51439.063376
"AGO",2003,NA,2.98985001,2705.706139,103.9012268,53.11699639,24.04876527,17812705294,2.48726957914268,0.00651220564677917,2.76392603972309,7.13912486017863,0,51439.063376
