"","iso3","year","tax_to_gdp","real_gdp_growth","real_gdp_capita","trade_open","industry_value_gdp","natural_rent_gdp","nomina_gdp","col.aid","dist.aid","religion.aid","total_aid_gdp","loan_gdp","grant_gdp","region","subregion","population","leastDeveloped"
"1","AFG",1995,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia",NA,1
"2","AFG",1996,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","18853444",1
"3","AFG",1997,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","19357126",1
"4","AFG",1998,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","19737770",1
"5","AFG",1999,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","20170847",1
"6","AFG",2000,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","20779957",1
"7","AFG",2001,NA,NA,NA,NA,NA,NA,NA,0,8.80259548826175,0,NA,NA,NA,"Asia","Southern Asia","21606992",1
"8","AFG",2002,NA,NA,0.3327668827,NA,23.81012701,1.023570222,4055.179566,0,8.80259548826175,0,30.1616729935949,-0.872464447607645,31.0383296106794,"Asia","Southern Asia","22600774",1
"9","AFG",2003,NA,8.832277813,0.3456395712,NA,22.71086418,0.710009344,4515.558808,0,8.80259548826175,0,34.4181100519951,0.218134685402596,33.8469736523471,"Asia","Southern Asia","23680871",1
"10","AFG",2004,NA,1.414117981,0.3357017313,NA,26.22678975,0.44003058,5226.778809,0,8.80259548826175,0,44.0854699271434,2.53884858818788,40.8632176345842,"Asia","Southern Asia","24726689",1
"11","AFG",2005,NA,11.22971482,0.3598990021,NA,26.81209923,0.3817198,6209.137625,0,8.80259548826175,0,46.0348952242784,1.48410303596709,43.8550433966263,"Asia","Southern Asia","25654274",1
"12","AFG",2006,NA,5.357403251,0.3680086446,NA,28.21076807,0.50226549,6971.285595,0,8.80259548826175,0,42.1817462493444,0.536629858154592,41.0049188352037,"Asia","Southern Asia","26433058",1
"13","AFG",2007,NA,13.82631955,0.4085734542,NA,26.88224161,0.449365386,9747.879532,0,8.80259548826175,0,51.192979802615,1.32428801131803,49.7909312898965,"Asia","Southern Asia","27100542",1
"14","AFG",2008,NA,3.924983822,0.4150869954,NA,26.915628,0.611295447,10109.225814,0,8.80259548826175,0,48.1929090282363,0.737247355744941,46.8553189645863,"Asia","Southern Asia","27722281",1
"15","AFG",2009,NA,21.39052839,0.491942093,NA,21.89712221,0.418062902,12439.087077,0,8.80259548826175,0,49.7276042985289,0.417956717226701,48.7264858142773,"Asia","Southern Asia","28394806",1
"16","AFG",2010,NA,14.36244147,0.5473548959,NA,21.1514207,0.609980533,15856.574731,0,8.80259548826175,0,39.6380057271273,-0.460629115928833,39.8539413915496,"Asia","Southern Asia","29185511",1
"17","AFG",2011,NA,0.426354785,0.532679977,NA,22.74025248,0.879277901,17804.292964,0,8.80259548826175,0,38.3222182076873,0.160129919551688,37.7625778995803,"Asia","Southern Asia","30117411",1
"18","AFG",2012,NA,12.75228709,0.5804872876,NA,21.15780715,0.702276007,20001.598506,0,8.80259548826175,0,33.4178790659903,0.343322559841408,33.0828558428219,"Asia","Southern Asia","31161378",1
"19","AFG",2013,NA,5.600744658,0.5919470685,NA,20.44460531,0.54588231,20561.069558,0,8.80259548826175,0,25.4805810817441,0.0554932221196662,25.0788023719014,"Asia","Southern Asia","32269592",1
"20","AFG",2014,NA,2.724543364,0.5880088976,NA,21.22966322,0.544477424,20484.88512,0,8.80259548826175,0,24.1685026349809,-0.08889481143451,24.3870052027902,"Asia","Southern Asia","33370804",1
"21","AFG",2015,NA,1.45131466,0.5784663529,NA,22.12404249,0.495307093,19907.111419,0,8.80259548826175,0,22.0834148534686,-0.139899754483812,21.6904397082884,"Asia","Southern Asia","34413603",1
"22","AFG",2016,NA,2.260314201,0.5753344424,NA,10.46680769,0.677458944,18017.749074,0,8.80259548826175,0,23.1003328046459,-0.0345215152817041,22.9434874635107,"Asia","Southern Asia","35383028",1
"23","AFG",2017,NA,2.647003202,0.5757070531,NA,10.051874,0.696790427,18869.945678,0,8.80259548826175,0,20.5127246577758,0.572815639453692,19.6745134477435,"Asia","Southern Asia","36296111",1
"24","AFG",2018,NA,1.189228128,0.5688279274,NA,13.38724696,0.915366189,18353.88113,0,8.80259548826175,0,20.6702875164584,1.03084464075964,19.7554946243678,"Asia","Southern Asia","37171922",1
"25","AFG",2019,NA,3.911603419,0.5775630576,NA,14.05811237,0.773957273,19291.104008,0,8.80259548826175,0,22.2963392775048,0.678084571757807,21.8476350459372,"Asia","Southern Asia","38041757",1
"26","AGO",1995,NA,15.00000003,2.146455653,NA,60.28517579,42.40854253,5561.222222,0,7.13912486017863,51439.06338,8.84823480085706,0.315757926927165,7.17234420919352,"Africa","Sub-Saharan Africa",NA,1
"27","AGO",1996,NA,13.54436976,2.360087804,NA,67.82067594,46.00789611,7526.963964,0,7.13912486017863,51439.06338,4.84830273859937,1.11824635274685,4.98381554361325,"Africa","Sub-Saharan Africa","14400722",1
"28","AGO",1997,NA,7.274277355,2.45160866,NA,60.75774139,39.3320636,7649.716157,0,7.13912486017863,51439.06338,11.5331076590689,0.72904665814256,3.90720379509109,"Africa","Sub-Saharan Africa","14871572",1
"29","AGO",1998,NA,4.691146451,2.485066842,NA,55.1572893,18.52994657,6506.619145,0,7.13912486017863,51439.06338,18.1407574916543,1.03325549723719,4.11949730000679,"Africa","Sub-Saharan Africa","15359600",1
"30","AGO",1999,NA,2.181489718,2.45809645,NA,72.71737231,40.04539419,6152.936539,0,7.13912486017863,51439.06338,22.8976845619958,1.11849032675356,5.17996566322135,"Africa","Sub-Saharan Africa","15866871",1
"31","AGO",2000,NA,3.054624234,2.451509826,152.5471095,72.12295494,55.45007279,9129.634978,0,7.13912486017863,51439.06338,1.28712703501474,0.535289747265512,2.77502880028069,"Africa","Sub-Saharan Africa","16395477",1
