"iso3","year","grant"
"BRB",2006,6.44
"BRB",2007,14.9
"BRB",2001,4
"BRB",1999,1.85
"BRB",2005,7.33
"BRB",2008,7.51
"BRB",1995,2.61
"BRB",2009,11.38
"BRB",2010,15.61
"BRB",2000,2.77
"BRB",2002,4
"BRB",2003,4.02
"BRB",2004,5.61
"BLR",2018,123
"BLR",2019,128.94
"BLR",2010,141.15
"BLR",2009,102.98
"BLR",2016,114.58
"BLR",2017,129.76
"BLR",2012,107.74
"BLR",2008,115.98
"BLR",2015,109.46
"BLR",2011,124.7
"BLR",2013,112.32
"BLR",2006,78.46
"BLR",2007,90.21
"BLR",2014,125.57
"BLR",2005,59.92
"BLZ",2012,26.86
"BLZ",2010,24.77
"BLZ",2015,26.42
"BLZ",2014,37.31
"BLZ",2011,20.89
"BLZ",2009,20.27
"BLZ",1996,14.56
"BLZ",2013,41.51
"BLZ",2017,26.66
"BLZ",1995,19.81
"BLZ",2005,14.38
"BLZ",1997,11.07
"BLZ",2008,21.49
"BLZ",2006,13.14
"BLZ",2004,9.46
"BLZ",2002,15.86
"BLZ",2016,32.88
"BLZ",2018,21.86
"BLZ",2003,13.34
"BLZ",2001,29.86
"BLZ",1998,34.04
"BLZ",2007,19.58
"BLZ",2019,45.47
"BLZ",2000,17.11
"BLZ",1999,19.82
"BEN",2014,439.71
"BEN",2015,309.65
"BEN",2016,360.49
"BEN",1996,189.25
"BEN",2017,492.79
"BEN",2018,414.52
"BEN",2011,619.2
"BEN",2005,315.47
"BEN",2012,446.58
"BEN",2013,430.8
"BEN",2019,489.78
"BEN",1995,210.5
"BEN",2007,380.24
"BEN",1997,203.91
"BEN",2010,552.38
"BEN",2008,496.7
"BEN",2006,1469.17
"BEN",2004,420.78
"BEN",2009,572.94
"BEN",2001,212.74
"BEN",2003,295.3
"BEN",2000,219.54
"BEN",1998,186.65
"BEN",1999,163.7
"BEN",2002,210.34
"BMU",1995,0.09
"BMU",1996,0.07
"BTN",1997,55.87
"BTN",1996,55.62
"BTN",2009,78.76
"BTN",2000,42.65
"BTN",1995,67.38
"BTN",2006,82.32
"BTN",1998,48.6
"BTN",2008,71.59
"BTN",2010,71.06
"BTN",2016,59.56
