"countries","iso3","year","tax_to_gdp"
"Bosnia and Herzegovina","BIH",2005,23.3
"Bosnia and Herzegovina","BIH",2006,25.5
"Bosnia and Herzegovina","BIH",2011,23
"Bosnia and Herzegovina","BIH",2009,21.6
"Bosnia and Herzegovina","BIH",2015,22.5
"Bosnia and Herzegovina","BIH",2017,22.8
"Bosnia and Herzegovina","BIH",2008,23.8
"Bosnia and Herzegovina","BIH",2014,22.3
"Bosnia and Herzegovina","BIH",2007,25.3
"Bosnia and Herzegovina","BIH",2010,22.3
"Bosnia and Herzegovina","BIH",2019,22.7
"Bosnia and Herzegovina","BIH",2016,22.6
"Bosnia and Herzegovina","BIH",2018,23
"Brazil","BRA",2015,23
"Brazil","BRA",2017,23.1
"Brazil","BRA",2012,23.6
"Brazil","BRA",2016,23.1
"Brazil","BRA",2013,23.5
"Brazil","BRA",2018,23.7
"Brazil","BRA",2019,23.6
"Brazil","BRA",2010,23.6
"Brazil","BRA",2014,22.8
"Brazil","BRA",2011,24.1
"Bulgaria","BGR",2012,19.8
"Bulgaria","BGR",1997,17.9
"Bulgaria","BGR",2004,21.5
"Bulgaria","BGR",1998,19.4
"Bulgaria","BGR",2000,20.2
"Bulgaria","BGR",2008,23.1
"Bulgaria","BGR",2011,18.5
"Bulgaria","BGR",2005,20.8
"Bulgaria","BGR",2013,20.8
"Bulgaria","BGR",2001,20.5
"Bulgaria","BGR",2016,21.2
"Bulgaria","BGR",1999,20.3
"Bulgaria","BGR",2017,21
"Bulgaria","BGR",2014,20.4
"Bulgaria","BGR",2006,21.7
"Bulgaria","BGR",2009,19.7
"Bulgaria","BGR",1996,16.5
"Bulgaria","BGR",2002,18.4
"Bulgaria","BGR",2015,21.1
"Bulgaria","BGR",2003,20.2
"Bulgaria","BGR",2019,21.2
"Bulgaria","BGR",2010,19.3
"Bulgaria","BGR",1995,17.1
"Bulgaria","BGR",2018,21.1
"Bulgaria","BGR",2007,23.7
"Cabo Verde","CPV",2010,19
"Cabo Verde","CPV",2013,18.5
"Cabo Verde","CPV",2015,19.5
"Cabo Verde","CPV",2012,18.5
"Cabo Verde","CPV",2014,17.7
"Cabo Verde","CPV",2008,22
